,date,sum_balance_harmony
199,2022-04-20,679151286994.0
200,2022-04-24,384705236718.0
201,2022-04-25,827880395372.0
202,2022-04-26,515737128537.0
203,2022-04-27,872342407937.0
204,2022-04-30,511628047470.0
205,2022-05-01,761969917487.0
206,2022-05-02,727667181402.0
207,2022-05-07,496269007201.0
208,2022-05-08,767643425529.0
209,2022-05-09,830635472464.0
210,2022-05-10,634265732541.0
211,2022-05-11,643009430165.0
212,2022-05-14,616141119408.0
213,2022-05-15,898248359563.0
214,2022-05-16,840027844199.0
215,2022-05-17,752303989076.0
216,2022-05-18,671656584075.0
217,2022-05-21,493014146092.0
218,2022-05-22,765036033387.0
219,2022-05-23,721653092391.0
220,2022-05-24,659356552949.0
221,2022-05-25,605801982168.0
222,2022-05-26,96783093.0
223,2022-05-28,477914763540.0
224,2022-05-29,684555076025.0
225,2022-05-30,621015582692.0
226,2022-05-31,615720072079.0
227,2022-06-01,705542004004.0
228,2022-06-06,443574059332.0
229,2022-06-07,1016093046905.0
230,2022-06-08,1057015847468.0
231,2022-06-11,709978555821.0
232,2022-06-12,876967850469.0
233,2022-06-13,800214443863.0
234,2022-06-14,651998814050.0
235,2022-06-15,686023587853.0
236,2022-06-18,590624904544.0
237,2022-06-19,896883447270.0
238,2022-06-20,674848874452.0
239,2022-06-21,706362195302.0
240,2022-06-22,864910993745.0
241,2022-06-25,569531492641.0
242,2022-06-26,811525557371.0
243,2022-06-27,652494817678.0
244,2022-06-28,599230858765.0
245,2022-06-29,612265979746.0
246,2022-07-02,484790012036.0
247,2022-07-05,653891079067.0
248,2022-07-06,1233081807721.0
249,2022-07-09,794617907235.0
250,2022-07-11,1016138733877.0
251,2022-07-12,1032277823241.0
252,2022-07-13,892489344361.0
253,2022-07-16,767778495419.0
254,2022-07-17,1170031869187.0
255,2022-07-19,966532576628.0
256,2022-07-20,1120618059821.0
257,2022-07-23,758823289903.0
258,2022-07-24,1005287705309.0
259,2022-07-25,914216391680.0
260,2022-07-26,774887467099.0
261,2022-07-27,933448531577.0
262,2022-07-30,615875344214.0
263,2022-07-31,1205184233914.0
264,2022-08-01,729454648712.0
265,2022-08-02,824574947629.0
266,2022-08-06,575193639787.0
267,2022-08-09,666363676201.0
268,2022-08-10,965359101906.0
269,2022-08-13,587826436704.0
270,2022-08-14,870578604228.0
271,2022-08-15,764366564494.0
272,2022-08-16,690382341632.0
273,2022-08-17,733987368831.0
274,2022-08-20,540586304602.0
275,2022-08-21,1038566583777.0
276,2022-08-22,839574379860.0
277,2022-08-23,652584888183.0
278,2022-08-24,928588747792.0
279,2022-08-27,580811853938.0
280,2022-08-28,1000364331033.0
281,2022-08-29,748632706762.0
282,2022-08-30,732535563936.0
283,2022-08-31,772528214586.0
284,2022-09-03,626892204300.0
285,2022-09-04,1094503744351.0
286,2022-09-05,945200019901.0
287,2022-09-06,953304077860.0
288,2022-09-07,927190553793.0
289,2022-09-10,749048276394.0
290,2022-09-11,1190167410734.0
291,2022-09-12,901733216792.0
292,2022-09-13,739153193525.0
293,2022-09-14,853644866415.0
294,2022-09-17,2000000000.0
295,2022-09-18,618944624659.0
296,2022-09-19,1369485348474.0
297,2022-09-20,1265592459743.0
298,2022-09-21,1119946311976.0
299,2022-09-24,891076216197.0
300,2022-09-26,1199863281780.0
301,2022-09-28,1193271341121.0
302,2022-10-01,976834027042.0
303,2022-10-02,1493156336163.0
304,2022-10-03,1048476436048.0
305,2022-10-04,1165230629615.0
306,2022-10-08,804045859386.0
307,2022-10-09,1186992706989.0
308,2022-10-10,1187154661016.0
309,2022-10-11,992900064536.0
310,2022-10-12,1115559975312.0
311,2022-10-15,934366394840.0
312,2022-10-16,1364805182634.0
313,2022-10-17,1204517293528.0
314,2022-10-18,1031286314818.0
315,2022-10-19,1099010193605.0
316,2022-10-22,770188290995.0
317,2022-10-23,1247706800114.0
318,2022-10-24,960988071105.0
319,2022-10-25,1168844049372.0
320,2022-10-26,942418702846.0
321,2022-10-29,846659084509.0
322,2022-10-30,1524227351333.0
323,2022-10-31,1243266497402.0
324,2022-11-01,1258997685714.0
325,2022-11-02,1159321869715.0
326,2022-11-05,1035020426852.0
327,2022-11-06,1559987316290.0
328,2022-11-07,1434055460151.0
329,2022-11-08,1106980384780.0
330,2022-11-09,1205853342523.0
331,2022-11-12,1016609818216.0
332,2022-11-13,1480107431301.0
333,2022-11-14,1135458630789.0
334,2022-11-15,1034828020209.0
335,2022-11-16,1053159430833.0
336,2022-11-19,1033621574971.0
337,2022-11-20,1662806219978.0
338,2022-11-21,1072284242866.0
