,date,sum_deposit
165,2020-09-01,2732525227372.0
166,2020-09-02,7518574865576.0
167,2020-09-03,526103903837.0
168,2020-09-04,639267088615.0
169,2020-09-05,3502439329382.0
170,2020-09-06,3482432874175.0
171,2020-09-07,3643474070880.0
172,2020-09-08,2909375373547.0
173,2020-09-09,2720185964175.0
174,2020-09-10,640153573878.0
175,2020-09-11,743179248227.0
176,2020-09-12,3666226054018.0
177,2020-09-13,2406552459574.0
178,2020-09-14,3129347864190.0
179,2020-09-15,6626065346027.0
180,2020-09-16,10373747550956.0
181,2020-09-17,1028519685763.0
182,2020-09-18,1199641767844.0
183,2020-09-19,5763361126955.0
184,2020-09-20,7861016919904.0
185,2020-09-21,1648428119998.0
186,2020-09-22,2029540218228.0
187,2020-09-23,2749838784005.0
188,2020-09-24,313551819774.0
189,2020-09-25,466749235840.0
190,2020-09-26,2164219588092.0
191,2020-09-27,1390585223761.0
192,2020-09-28,1125419138257.0
193,2020-09-29,1536332718088.0
194,2020-09-30,1897518842233.0
195,2020-10-01,448610328778.0
196,2020-10-02,450938033026.0
197,2020-10-03,2253629092446.0
198,2020-10-04,2077830622756.0
199,2020-10-05,1623242024085.0
200,2020-10-06,1791424925430.0
201,2020-10-07,2594454949850.0
202,2020-10-08,263544500348.0
203,2020-10-09,468703989027.0
204,2020-10-10,2083442108430.0
205,2020-10-11,2829418416946.0
206,2020-10-12,2780087564336.0
207,2020-10-13,2037257718057.0
208,2020-10-14,1530942691232.0
209,2020-10-15,244680260508.0
210,2020-10-16,189694899532.0
211,2020-10-17,353170228267.0
212,2020-10-18,1490813482901.0
213,2020-10-19,2453858997377.0
214,2020-10-20,1349215772465.0
215,2020-10-21,2020902971815.0
216,2020-10-22,323758987398.0
217,2020-10-23,289089975473.0
218,2020-10-24,1227952119483.0
219,2020-10-25,184436833375.0
220,2020-10-26,1179435849164.0
221,2020-10-27,1621920042000.0
222,2020-10-28,1451107648855.0
223,2020-10-29,286658389747.0
224,2020-10-30,333979512585.0
225,2020-10-31,2378615287683.0
226,2020-11-01,2094568060053.0
227,2020-11-02,1311144405019.0
228,2020-11-03,199063169751.0
229,2020-11-04,1158570490818.0
230,2020-11-05,243570193566.0
231,2020-11-06,256723942413.0
232,2020-11-07,950089027182.0
233,2020-11-08,954018811356.0
234,2020-11-09,1408634445901.0
235,2020-11-10,1610053136897.0
236,2020-11-11,1305578454446.0
237,2020-11-12,209625471417.0
238,2020-11-13,345627262228.0
239,2020-11-14,1763056046227.0
240,2020-11-15,1693326664829.0
241,2020-11-16,1134651418501.0
242,2020-11-17,1980791089394.0
243,2020-11-18,2567833893065.0
244,2020-11-19,613074748852.0
245,2020-11-20,842424916527.0
246,2020-11-21,3435196661748.0
247,2020-11-22,2274586439086.0
248,2020-11-23,2152947483745.0
249,2020-11-24,2134468793113.0
250,2020-11-25,1685234561943.0
251,2020-11-26,344967418317.0
252,2020-11-27,526706529565.0
253,2020-11-28,2373218850006.0
254,2020-11-29,2817060754383.0
255,2020-11-30,3122430596451.0
256,2020-12-01,2701162876606.0
257,2020-12-02,2196740106061.0
258,2020-12-03,414407770357.0
259,2020-12-04,531500141801.0
260,2020-12-05,2596649529299.0
261,2020-12-06,3049576677356.0
262,2020-12-07,4300800276010.0
263,2020-12-08,3691950730153.0
264,2020-12-09,2703601654743.0
265,2020-12-10,511465841907.0
266,2020-12-11,725079196633.0
267,2020-12-12,2292644428922.0
268,2020-12-13,2435591864923.0
269,2020-12-14,2713116287224.0
270,2020-12-15,1846538422244.0
271,2020-12-16,2096908856858.0
272,2020-12-17,288705836374.0
273,2020-12-18,455253728809.0
274,2020-12-19,1967549146439.0
275,2020-12-20,1677740753576.0
276,2020-12-21,1940544213323.0
277,2020-12-22,2794303089137.0
278,2020-12-23,1729835372478.0
279,2020-12-24,345689058174.0
280,2020-12-25,613918828229.0
281,2020-12-26,2303925198902.0
282,2020-12-27,1932021887935.0
283,2020-12-28,1605779642699.0
284,2020-12-29,1540644289935.0
285,2020-12-30,1548816254403.0
286,2020-12-31,266002823955.0
287,2021-01-01,328302349527.0
288,2021-01-02,1530905957880.0
289,2021-01-03,1762017197319.0
290,2021-01-04,1657497074410.0
291,2021-01-05,1566927178821.0
292,2021-01-06,1257130810249.0
293,2021-01-07,315708806919.0
294,2021-01-08,334821447857.0
295,2021-01-09,1408184845589.0
296,2021-01-10,1854995713610.0
297,2021-01-11,1863733703760.0
298,2021-01-12,1220528674295.0
299,2021-01-13,953704646581.0
300,2021-01-14,239793020573.0
301,2021-01-15,282212441599.0
302,2021-01-16,887579340427.0
303,2021-01-17,169116596338.0
304,2021-01-18,745381458126.0
305,2021-01-19,1274136678549.0
306,2021-01-20,1661404129800.0
307,2021-01-21,361373328673.0
308,2021-01-22,528456834992.0
309,2021-01-23,2073700879542.0
310,2021-01-24,2015732847616.0
311,2021-01-25,1487672853976.0
312,2021-01-26,1168621860621.0
313,2021-01-27,1129586457010.0
314,2021-01-28,351113224077.0
315,2021-01-29,367138918915.0
316,2021-01-30,1823143260346.0
317,2021-01-31,1717229989076.0
318,2021-02-01,1275829311749.0
319,2021-02-02,2113756355895.0
320,2021-02-03,1521087853716.0
321,2021-02-04,178528056835.0
322,2021-02-05,232909875002.0
323,2021-02-06,1424519889378.0
324,2021-02-07,2251344547364.0
325,2021-02-08,1629074111592.0
326,2021-02-09,1263084373871.0
327,2021-02-10,124812907513.0
328,2021-02-11,391804941160.0
329,2021-02-12,383836479663.0
330,2021-02-13,2109384008199.0
331,2021-02-14,4595615456293.0
332,2021-02-15,2018847464748.0
333,2021-02-16,1196535506886.0
334,2021-02-17,1267957263023.0
335,2021-02-18,180789022019.0
336,2021-02-19,240174845345.0
337,2021-02-20,1089387681446.0
338,2021-02-21,1016478316958.0
339,2021-02-22,1225899401631.0
340,2021-02-23,1563451268448.0
341,2021-02-24,1560104875083.0
342,2021-02-25,103525094910.0
343,2021-02-26,157768388427.0
344,2021-02-27,996980342322.0
345,2021-02-28,862072936639.0
